roundId,aSeed,bSeed,aName,bName,bScore,aScore,fileName,date,weapon,category,gender
2,1,2,Bill Martin,Chris Kalnins,8,7,20050227IF,20050227,Foil,Intermediate,
2,2,1,Chris Kalnins,Bill Martin,7,8,20050227IF,20050227,Foil,Intermediate,
4,1,4,Bill Martin,Seri Wilson,7,14,20050227IF,20050227,Foil,Intermediate,
4,4,1,Seri Wilson,Bill Martin,14,7,20050227IF,20050227,Foil,Intermediate,
8,1,8,Bill Martin,Paul Whan,8,15,20050227IF,20050227,Foil,Intermediate,
8,8,1,Paul Whan,Bill Martin,15,8,20050227IF,20050227,Foil,Intermediate,
16,9,8,Paul Whan,Kim Beardsell,8,15,20050227IF,20050227,Foil,Intermediate,
16,8,9,Kim Beardsell,Paul Whan,15,8,20050227IF,20050227,Foil,Intermediate,
8,5,4,Luke Edwards,Seri Wilson,15,13,20050227IF,20050227,Foil,Intermediate,
8,4,5,Seri Wilson,Luke Edwards,13,15,20050227IF,20050227,Foil,Intermediate,
4,3,2,Daniel Maidment,Chris Kalnins,15,4,20050227IF,20050227,Foil,Intermediate,
4,2,3,Chris Kalnins,Daniel Maidment,4,15,20050227IF,20050227,Foil,Intermediate,
8,3,6,Daniel Maidment,Shayne Pay,10,15,20050227IF,20050227,Foil,Intermediate,
8,6,3,Shayne Pay,Daniel Maidment,15,10,20050227IF,20050227,Foil,Intermediate,
8,7,2,Steve McClure,Chris Kalnins,15,6,20050227IF,20050227,Foil,Intermediate,
8,2,7,Chris Kalnins,Steve McClure,6,15,20050227IF,20050227,Foil,Intermediate,
16,7,10,Steve McClure,Joel Dignam,0,13,20050227IF,20050227,Foil,Intermediate,
16,10,7,Joel Dignam,Steve McClure,13,0,20050227IF,20050227,Foil,Intermediate,
2,1,2,Steven Langsford,Bruce Dawson,12,15,20050227OE,20050227,Epee,Open,
2,2,1,Bruce Dawson,Steven Langsford,15,12,20050227OE,20050227,Epee,Open,
4,1,4,Steven Langsford,Adrian Murphy,9,15,20050227OE,20050227,Epee,Open,
4,4,1,Adrian Murphy,Steven Langsford,15,9,20050227OE,20050227,Epee,Open,
8,1,8,Steven Langsford,Chris Carter,3,15,20050227OE,20050227,Epee,Open,
8,8,1,Chris Carter,Steven Langsford,15,3,20050227OE,20050227,Epee,Open,
16,9,8,Chris Carter,Brian Grossman,9,15,20050227OE,20050227,Epee,Open,
16,8,9,Brian Grossman,Chris Carter,15,9,20050227OE,20050227,Epee,Open,
8,5,4,Adrian Murphy,Stuart Marshall,9,15,20050227OE,20050227,Epee,Open,
8,4,5,Stuart Marshall,Adrian Murphy,15,9,20050227OE,20050227,Epee,Open,
16,5,12,Adrian Murphy,Seri Wilson,9,15,20050227OE,20050227,Epee,Open,
16,12,5,Seri Wilson,Adrian Murphy,15,9,20050227OE,20050227,Epee,Open,
16,13,4,Jen Soggee,Stuart Marshall,15,7,20050227OE,20050227,Epee,Open,
16,4,13,Stuart Marshall,Jen Soggee,7,15,20050227OE,20050227,Epee,Open,
4,3,2,Bruce Dawson,David Brautigan,8,15,20050227OE,20050227,Epee,Open,
4,2,3,David Brautigan,Bruce Dawson,15,8,20050227OE,20050227,Epee,Open,
8,3,6,Bruce Dawson,Nikki Lucas,3,15,20050227OE,20050227,Epee,Open,
8,6,3,Nikki Lucas,Bruce Dawson,15,3,20050227OE,20050227,Epee,Open,
16,3,14,Bruce Dawson,Paul Bachman,6,15,20050227OE,20050227,Epee,Open,
16,14,3,Paul Bachman,Bruce Dawson,15,6,20050227OE,20050227,Epee,Open,
16,11,6,Nikki Lucas,Rowena Newcombe,11,15,20050227OE,20050227,Epee,Open,
16,6,11,Rowena Newcombe,Nikki Lucas,15,11,20050227OE,20050227,Epee,Open,
8,7,2,David Brautigan,Michael Peachey,13,15,20050227OE,20050227,Epee,Open,
8,2,7,Michael Peachey,David Brautigan,15,13,20050227OE,20050227,Epee,Open,
16,7,10,David Brautigan,Charis Gauvin,7,15,20050227OE,20050227,Epee,Open,
16,10,7,Charis Gauvin,David Brautigan,15,7,20050227OE,20050227,Epee,Open,
16,15,2,Rowan Beckworth,Michael Peachey,15,8,20050227OE,20050227,Epee,Open,
16,2,15,Michael Peachey,Rowan Beckworth,8,15,20050227OE,20050227,Epee,Open,
2,1,2,Aaron Liaw,Adeline Lamy,15,5,20050227OF,20050227,Foil,Open,
2,2,1,Adeline Lamy,Aaron Liaw,5,15,20050227OF,20050227,Foil,Open,
4,1,4,James McCanna,Aaron Liaw,15,9,20050227OF,20050227,Foil,Open,
4,4,1,Aaron Liaw,James McCanna,9,15,20050227OF,20050227,Foil,Open,
8,1,8,James McCanna,Lance Holden,8,15,20050227OF,20050227,Foil,Open,
8,8,1,Lance Holden,James McCanna,15,8,20050227OF,20050227,Foil,Open,
16,1,16,James McCanna,Tim Benveniste,2,15,20050227OF,20050227,Foil,Open,
16,16,1,Tim Benveniste,James McCanna,15,2,20050227OF,20050227,Foil,Open,
16,9,8,Lance Holden,Micheal Hoeller,6,15,20050227OF,20050227,Foil,Open,
16,8,9,Micheal Hoeller,Lance Holden,15,6,20050227OF,20050227,Foil,Open,
8,5,4,Aaron Liaw,Chris Kalnins,10,15,20050227OF,20050227,Foil,Open,
8,4,5,Chris Kalnins,Aaron Liaw,15,10,20050227OF,20050227,Foil,Open,
16,5,12,Aaron Liaw,Shayne Pay,4,15,20050227OF,20050227,Foil,Open,
16,12,5,Shayne Pay,Aaron Liaw,15,4,20050227OF,20050227,Foil,Open,
16,13,4,Beecher Carter,Chris Kalnins,13,12,20050227OF,20050227,Foil,Open,
16,4,13,Chris Kalnins,Beecher Carter,12,13,20050227OF,20050227,Foil,Open,
4,3,2,Adeline Lamy,Adrian Murphy,7,15,20050227OF,20050227,Foil,Open,
4,2,3,Adrian Murphy,Adeline Lamy,15,7,20050227OF,20050227,Foil,Open,
8,3,6,Adeline Lamy,Albert Bresca,6,15,20050227OF,20050227,Foil,Open,
8,6,3,Albert Bresca,Adeline Lamy,15,6,20050227OF,20050227,Foil,Open,
16,3,14,Adeline Lamy,Seri Wilson,8,15,20050227OF,20050227,Foil,Open,
16,14,3,Seri Wilson,Adeline Lamy,15,8,20050227OF,20050227,Foil,Open,
16,11,6,Stuart Marshall,Albert Bresca,15,11,20050227OF,20050227,Foil,Open,
16,6,11,Albert Bresca,Stuart Marshall,11,15,20050227OF,20050227,Foil,Open,
8,7,2,Luke Edwards,Adrian Murphy,15,7,20050227OF,20050227,Foil,Open,
8,2,7,Adrian Murphy,Luke Edwards,7,15,20050227OF,20050227,Foil,Open,
16,7,10,Chris Carter,Luke Edwards,13,15,20050227OF,20050227,Foil,Open,
16,10,7,Luke Edwards,Chris Carter,15,13,20050227OF,20050227,Foil,Open,
16,15,2,Lise Jensen,Adrian Murphy,15,6,20050227OF,20050227,Foil,Open,
16,2,15,Adrian Murphy,Lise Jensen,6,15,20050227OF,20050227,Foil,Open,
2,1,2,Daniel Duffy,Bruce Dawson,15,14,20050320OE,20050320,Epee,Open,
2,2,1,Bruce Dawson,Daniel Duffy,14,15,20050320OE,20050320,Epee,Open,
4,1,4,Daniel Duffy,Adrian Murphy,14,15,20050320OE,20050320,Epee,Open,
4,4,1,Adrian Murphy,Daniel Duffy,15,14,20050320OE,20050320,Epee,Open,
8,1,8,Daniel Duffy,David Brautigan,12,13,20050320OE,20050320,Epee,Open,
8,8,1,David Brautigan,Daniel Duffy,13,12,20050320OE,20050320,Epee,Open,
16,9,8,David Brautigan,Rowan Beckworth,9,15,20050320OE,20050320,Epee,Open,
16,8,9,Rowan Beckworth,David Brautigan,15,9,20050320OE,20050320,Epee,Open,
8,5,4,Adrian Murphy,Stuart Marshall,12,15,20050320OE,20050320,Epee,Open,
8,4,5,Stuart Marshall,Adrian Murphy,15,12,20050320OE,20050320,Epee,Open,
4,3,2,Bruce Dawson,Tim Ide,11,15,20050320OE,20050320,Epee,Open,
4,2,3,Tim Ide,Bruce Dawson,15,11,20050320OE,20050320,Epee,Open,
8,3,6,Bruce Dawson,Brian Grossman,5,15,20050320OE,20050320,Epee,Open,
8,6,3,Brian Grossman,Bruce Dawson,15,5,20050320OE,20050320,Epee,Open,
8,7,2,Seri Wilson,Tim Ide,15,12,20050320OE,20050320,Epee,Open,
8,2,7,Tim Ide,Seri Wilson,12,15,20050320OE,20050320,Epee,Open,
16,7,10,Seri Wilson,Shayne Pay,11,15,20050320OE,20050320,Epee,Open,
16,10,7,Shayne Pay,Seri Wilson,15,11,20050320OE,20050320,Epee,Open,
2,1,2,Kym Beardsell,Steve McClure,15,5,20050410IF,20050410,Foil,Intermediate,
2,2,1,Steve McClure,Kym Beardsell,5,15,20050410IF,20050410,Foil,Intermediate,
4,1,4,Kym Beardsell,Tim Benveniste,14,15,20050410IF,20050410,Foil,Intermediate,
4,4,1,Tim Benveniste,Kym Beardsell,15,14,20050410IF,20050410,Foil,Intermediate,
8,5,4,Tim Benveniste,Joel Dignam,11,15,20050410IF,20050410,Foil,Intermediate,
8,4,5,Joel Dignam,Tim Benveniste,15,11,20050410IF,20050410,Foil,Intermediate,
4,3,2,Meredith Coleman,Steve McClure,15,8,20050410IF,20050410,Foil,Intermediate,
4,2,3,Steve McClure,Meredith Coleman,8,15,20050410IF,20050410,Foil,Intermediate,
8,3,6,Shayne Pay,Meredith Coleman,15,10,20050410IF,20050410,Foil,Intermediate,
8,6,3,Meredith Coleman,Shayne Pay,10,15,20050410IF,20050410,Foil,Intermediate,
2,1,2,Bruce Dawson,Daniel Duffy,0,0,20050410OE,20050410,Epee,Open,
2,2,1,Daniel Duffy,Bruce Dawson,0,0,20050410OE,20050410,Epee,Open,
4,1,4,Bruce Dawson,David Brautigan,12,15,20050410OE,20050410,Epee,Open,
4,4,1,David Brautigan,Bruce Dawson,15,12,20050410OE,20050410,Epee,Open,
8,1,8,Bruce Dawson,Shayne Pay,8,15,20050410OE,20050410,Epee,Open,
